"user_id";"user_external_id";"ID";"answered";"Zeer eens";"Eens";"Niet eens/niet oneens";"Oneens";"Zeer oneens"
15500;"5.20.10716837";1593422;"10-08-2021 10:08:25";1;;;;
18557;"8.21.04319894";1593428;"10-08-2021 10:08:41";;;1;;
6259;"4.18.0917596";1593442;"10-08-2021 10:10:45";;;1;;
17078;"12.20.13718415";1593454;"10-08-2021 10:13:06";;1;;;
18507;"7.21.25719844";1593457;"10-08-2021 10:13:15";;;1;;
18525;"7.21.28319862";1593511;"10-08-2021 10:15:40";;1;;;
8140;"8.18.1539477";1593513;"10-08-2021 10:15:49";;1;;;
18591;"8.21.10219928";1593517;"10-08-2021 10:15:56";;1;;;
18590;"8.21.10219927";1593538;"10-08-2021 10:16:39";;;;1;
17067;"12.20.10418404";1593553;"10-08-2021 10:17:14";;;;1;
17236;"1.21.04118573";1593561;"10-08-2021 10:19:15";1;;;;
15309;"4.20.18616646";1593570;"10-08-2021 10:19:37";;;1;;
18498;"7.21.24619835";1593586;"10-08-2021 10:35:18";;1;;;
18558;"8.21.04319895";1593596;"10-08-2021 10:40:14";1;;;;
16876;"11.20.16118213";1593606;"10-08-2021 10:45:02";;1;;;
8495;"9.18.0649832";1593616;"10-08-2021 10:50:30";1;;;;
17951;"4.21.10619288";1593626;"10-08-2021 10:56:15";;;;;1
15547;"5.20.16616884";1593636;"10-08-2021 11:01:31";;;1;;
12762;"3.19.25114099";1593646;"10-08-2021 11:03:56";;;;;1
15167;"4.20.01316504";1593656;"10-08-2021 11:06:14";;1;;;
15530;"5.20.14416867";1593666;"10-08-2021 11:20:25";;;1;;
11649;"1.19.19612986";1593676;"10-08-2021 11:41:30";;;1;;
15142;"3.20.28616479";1593686;"10-08-2021 11:51:27";1;;;;
7960;"7.18.2869297";1593696;"10-08-2021 12:31:03";;;1;;
18594;"8.21.10219931";1593718;"10-08-2021 13:56:36";1;;;;
11396;"1.19.06712733";1593734;"10-08-2021 14:05:12";;1;;;
10155;"11.18.14311492";1593744;"10-08-2021 15:29:40";;1;;;
11009;"12.18.19312346";1593754;"10-08-2021 15:56:26";;1;;;
18588;"8.21.10219925";1593764;"10-08-2021 17:43:31";;1;;;
5610;"2.18.0366947";1593775;"10-08-2021 19:18:13";1;;;;
15315;"4.20.19716652";1593785;"10-08-2021 19:23:14";;1;;;
18485;"7.21.21319822";1593795;"10-08-2021 23:30:27";;;1;;
18601;"8.21.11319938";1593860;"11-08-2021 09:53:30";1;;;;
16467;"9.20.27717804";1593892;"11-08-2021 11:36:31";;1;;;
18539;"7.21.31619876";1593903;"11-08-2021 13:40:31";1;;;;
18568;"8.21.07619905";1593945;"11-08-2021 20:09:06";;1;;;
18607;"8.21.11319944";1593976;"11-08-2021 22:27:10";;;1;;
18608;"8.21.11319945";1594007;"12-08-2021 00:00:59";;;1;;
18040;"4.21.24619377";1594030;"12-08-2021 06:45:43";1;;;;
16161;"8.20.13417498";1594044;"12-08-2021 09:23:35";;;;1;
16259;"8.20.25217596";1596341;"13-08-2021 20:12:03";;1;;;
16114;"8.20.03117451";1596420;"13-08-2021 20:33:34";;1;;;
17202;"12.20.31418539";1596578;"13-08-2021 22:38:02";;;;;1
5977;"3.18.1177314";1597472;"14-08-2021 17:55:33";;;1;;
4059;"8.17.2225396";1597786;"17-08-2021 09:32:03";1;;;;
18641;"8.21.17219978";1597819;"17-08-2021 15:39:37";;1;;;
4561;"10.17.1615898";1597888;"18-08-2021 17:37:04";;1;;;
18651;"8.21.19419988";1597952;"19-08-2021 00:40:46";1;;;;
17426;"1.21.28418763";1600408;"19-08-2021 15:12:07";1;;;;
18560;"8.21.05419897";1600657;"19-08-2021 15:31:38";1;;;;
18657;"8.21.19419994";1601181;"19-08-2021 17:12:13";;;;1;
13277;"6.19.02714614";1602855;"21-08-2021 16:52:58";1;;;;
18668;"8.21.22720005";1603075;"22-08-2021 19:48:56";1;;;;
18064;"4.21.29419401";1603184;"23-08-2021 07:45:01";;1;;;
18680;"8.21.24220017";1604355;"24-08-2021 12:23:44";;;1;;
18683;"8.21.24220020";1604412;"24-08-2021 17:08:31";1;;;;
18686;"8.21.25320023";1604445;"25-08-2021 05:21:08";;1;;;
18688;"8.21.25320025";1604481;"25-08-2021 14:03:44";;;1;;
18690;"8.21.25320027";1604524;"25-08-2021 16:48:54";1;;;;
18692;"8.21.25320029";1604623;"26-08-2021 21:47:53";1;;;;
18706;"8.21.27520043";1604714;"27-08-2021 21:34:44";1;;;;
18707;"8.21.27520044";1604742;"27-08-2021 23:23:16";;;;1;
18715;"8.21.28620052";1604857;"28-08-2021 13:27:36";;;;;1
18717;"8.21.28620054";1604883;"28-08-2021 21:28:01";;1;;;
18718;"8.21.28620055";1604902;"28-08-2021 21:33:46";1;;;;
18734;"8.21.30120071";1605081;"30-08-2021 21:23:27";;1;;;
18739;"8.21.31220076";1605145;"31-08-2021 14:47:47";1;;;;
18740;"8.21.31220077";1605650;"31-08-2021 17:14:43";;;1;;
18743;"9.21.01320080";1605846;"01-09-2021 13:42:33";;1;;;
18754;"9.21.02420091";1608829;"02-09-2021 16:51:56";1;;;;
6436;"5.18.0237773";1609041;"05-09-2021 09:01:22";;;1;;
18821;"9.21.08320158";1610180;"08-09-2021 17:32:37";;1;;;
18822;"9.21.08320159";1610219;"08-09-2021 19:43:12";1;;;;
18825;"9.21.08320162";1610248;"08-09-2021 23:23:49";;;1;;
18826;"9.21.09420163";1610273;"09-09-2021 06:52:13";;;1;;
18833;"9.21.09420170";1617714;"09-09-2021 20:45:20";;1;;;
4931;"11.17.2346268";1631618;"13-09-2021 21:41:54";1;;;;
18870;"9.21.14220207";1633453;"14-09-2021 19:46:49";;1;;;
18885;"9.21.16420222";1634419;"16-09-2021 10:16:01";;;1;;
18879;"9.21.15320216";1634454;"16-09-2021 13:08:06";;;1;;
18892;"9.21.17520229";1634555;"17-09-2021 07:56:22";;1;;;
18896;"9.21.17520233";1639126;"17-09-2021 20:30:23";;1;;;
18906;"9.21.18620243";1640561;"18-09-2021 08:13:08";;1;;;
16827;"11.20.10218164";1643127;"18-09-2021 13:26:41";;;1;;
18464;"7.21.13219801";1650575;"19-09-2021 16:44:03";;1;;;
18952;"9.21.22320289";1657568;"22-09-2021 14:23:48";;;1;;
