"user_id";"user_external_id";"ID";"answered";"Zeer eens";"Eens";"Niet eens/niet oneens";"Oneens";"Zeer oneens"
15500;"5.20.10716837";1593425;"10-08-2021 10:08:34";;;1;;
18557;"8.21.04319894";1593434;"10-08-2021 10:08:48";1;;;;
6259;"4.18.0917596";1593444;"10-08-2021 10:10:49";1;;;;
17078;"12.20.13718415";1593456;"10-08-2021 10:13:11";1;;;;
18507;"7.21.25719844";1593464;"10-08-2021 10:13:27";;;1;;
18525;"7.21.28319862";1593515;"10-08-2021 10:15:52";;;1;;
18591;"8.21.10219928";1593522;"10-08-2021 10:16:04";1;;;;
8140;"8.18.1539477";1593529;"10-08-2021 10:16:18";;1;;;
18590;"8.21.10219927";1593543;"10-08-2021 10:16:42";;;1;;
17067;"12.20.10418404";1593555;"10-08-2021 10:17:25";;;;;1
17236;"1.21.04118573";1593564;"10-08-2021 10:19:24";;1;;;
15309;"4.20.18616646";1593573;"10-08-2021 10:19:53";1;;;;
18498;"7.21.24619835";1593588;"10-08-2021 10:35:28";;1;;;
18558;"8.21.04319895";1593598;"10-08-2021 10:40:24";1;;;;
16876;"11.20.16118213";1593608;"10-08-2021 10:45:12";;1;;;
8495;"9.18.0649832";1593618;"10-08-2021 10:50:33";1;;;;
17951;"4.21.10619288";1593628;"10-08-2021 10:56:31";;;;;1
15547;"5.20.16616884";1593638;"10-08-2021 11:01:38";;;1;;
12762;"3.19.25114099";1593648;"10-08-2021 11:04:08";;;;;1
15167;"4.20.01316504";1593658;"10-08-2021 11:06:23";;1;;;
15530;"5.20.14416867";1593668;"10-08-2021 11:20:36";;1;;;
11649;"1.19.19612986";1593678;"10-08-2021 11:41:38";1;;;;
15142;"3.20.28616479";1593688;"10-08-2021 11:51:31";;1;;;
7960;"7.18.2869297";1593698;"10-08-2021 12:31:07";;;1;;
18594;"8.21.10219931";1593720;"10-08-2021 13:56:57";;;;1;
11396;"1.19.06712733";1593736;"10-08-2021 14:05:25";;1;;;
10155;"11.18.14311492";1593746;"10-08-2021 15:29:47";1;;;;
11009;"12.18.19312346";1593756;"10-08-2021 15:56:34";;1;;;
18588;"8.21.10219925";1593766;"10-08-2021 17:43:35";;;;1;
5610;"2.18.0366947";1593777;"10-08-2021 19:18:17";;;1;;
15315;"4.20.19716652";1593787;"10-08-2021 19:23:24";;;1;;
18485;"7.21.21319822";1593797;"10-08-2021 23:30:40";;1;;;
18601;"8.21.11319938";1593862;"11-08-2021 09:53:39";;1;;;
16467;"9.20.27717804";1593894;"11-08-2021 11:36:42";;1;;;
