"user_id";"user_external_id";"ID";"answered";"Zeer eens";"Eens";"Niet eens/niet oneens";"Oneens";"Zeer oneens"
15500;"5.20.10716837";1593427;"10-08-2021 10:08:38";;;1;;
18557;"8.21.04319894";1593435;"10-08-2021 10:08:56";;1;;;
6259;"4.18.0917596";1593445;"10-08-2021 10:10:51";;1;;;
17078;"12.20.13718415";1593460;"10-08-2021 10:13:19";1;;;;
18507;"7.21.25719844";1593471;"10-08-2021 10:13:37";;;1;;
18525;"7.21.28319862";1593521;"10-08-2021 10:16:03";;;1;;
18591;"8.21.10219928";1593523;"10-08-2021 10:16:06";1;;;;
18590;"8.21.10219927";1593545;"10-08-2021 10:16:44";;;1;;
8140;"8.18.1539477";1593550;"10-08-2021 10:16:50";;;1;;
17236;"1.21.04118573";1593566;"10-08-2021 10:19:30";;1;;;
15309;"4.20.18616646";1593574;"10-08-2021 10:20:03";;;1;;
17067;"12.20.10418404";1593579;"10-08-2021 10:27:51";;;;;1
18498;"7.21.24619835";1593589;"10-08-2021 10:35:39";;1;;;
18558;"8.21.04319895";1593599;"10-08-2021 10:40:39";;;;;1
16876;"11.20.16118213";1593609;"10-08-2021 10:45:23";;;;;1
8495;"9.18.0649832";1593619;"10-08-2021 10:50:40";;;;;1
17951;"4.21.10619288";1593629;"10-08-2021 10:56:47";1;;;;
15547;"5.20.16616884";1593639;"10-08-2021 11:01:41";;;1;;
12762;"3.19.25114099";1593649;"10-08-2021 11:04:16";1;;;;
15167;"4.20.01316504";1593659;"10-08-2021 11:06:26";1;;;;
15530;"5.20.14416867";1593669;"10-08-2021 11:20:46";;;1;;
11649;"1.19.19612986";1593679;"10-08-2021 11:41:44";;;;1;
15142;"3.20.28616479";1593689;"10-08-2021 11:51:34";1;;;;
7960;"7.18.2869297";1593699;"10-08-2021 12:31:09";;1;;;
18594;"8.21.10219931";1593721;"10-08-2021 13:57:10";;1;;;
11396;"1.19.06712733";1593737;"10-08-2021 14:06:02";;;;1;
10155;"11.18.14311492";1593747;"10-08-2021 15:29:56";;1;;;
11009;"12.18.19312346";1593757;"10-08-2021 15:56:42";;1;;;
18588;"8.21.10219925";1593767;"10-08-2021 17:43:36";;;1;;
5610;"2.18.0366947";1593778;"10-08-2021 19:19:09";;;1;;
15315;"4.20.19716652";1593788;"10-08-2021 19:23:34";;;;1;
18485;"7.21.21319822";1593798;"10-08-2021 23:31:03";;1;;;
18601;"8.21.11319938";1593863;"11-08-2021 09:53:47";;1;;;
16467;"9.20.27717804";1593895;"11-08-2021 11:36:52";;;;1;
18539;"7.21.31619876";1593906;"11-08-2021 13:40:56";;;;;1
18568;"8.21.07619905";1593948;"11-08-2021 20:09:38";;1;;;
18607;"8.21.11319944";1593979;"11-08-2021 22:27:36";;1;;;
18608;"8.21.11319945";1594010;"12-08-2021 00:01:17";;1;;;
18040;"4.21.24619377";1594033;"12-08-2021 06:46:03";;;;;1
16161;"8.20.13417498";1594047;"12-08-2021 09:23:46";;;1;;
16259;"8.20.25217596";1596346;"13-08-2021 20:12:08";;1;;;
16114;"8.20.03117451";1596425;"13-08-2021 20:33:57";1;;;;
17202;"12.20.31418539";1596581;"13-08-2021 22:38:38";1;;;;
5977;"3.18.1177314";1597475;"14-08-2021 17:55:58";;1;;;
4059;"8.17.2225396";1597789;"17-08-2021 09:32:11";1;;;;
18641;"8.21.17219978";1597822;"17-08-2021 15:39:44";;;1;;
4561;"10.17.1615898";1597891;"18-08-2021 17:37:18";;;;1;
18651;"8.21.19419988";1597955;"19-08-2021 00:41:19";;;;1;
17426;"1.21.28418763";1600635;"19-08-2021 15:30:22";1;;;;
18560;"8.21.05419897";1600665;"19-08-2021 15:31:54";;;;;1
18657;"8.21.19419994";1601190;"19-08-2021 17:12:46";;;;1;
13277;"6.19.02714614";1602858;"21-08-2021 16:53:29";;;;1;
18668;"8.21.22720005";1603078;"22-08-2021 19:49:15";;;;1;
18064;"4.21.29419401";1603187;"23-08-2021 07:45:33";;;;1;
18680;"8.21.24220017";1604358;"24-08-2021 12:24:11";;;1;;
18683;"8.21.24220020";1604415;"24-08-2021 17:08:44";;;;1;
18686;"8.21.25320023";1604448;"25-08-2021 05:21:41";;;;1;
18688;"8.21.25320025";1604484;"25-08-2021 14:04:06";;;;1;
18690;"8.21.25320027";1604527;"25-08-2021 16:49:17";;;1;;
18692;"8.21.25320029";1604626;"26-08-2021 21:48:10";;;1;;
18706;"8.21.27520043";1604717;"27-08-2021 21:35:35";;;;1;
18707;"8.21.27520044";1604745;"27-08-2021 23:23:46";;;;1;
18715;"8.21.28620052";1604860;"28-08-2021 13:28:01";1;;;;
18717;"8.21.28620054";1604886;"28-08-2021 21:28:15";1;;;;
