"user_id";"user_external_id";"ID";"answered";"Zeer eens";"Eens";"Niet eens/niet oneens";"Oneens";"Zeer oneens"
15500;"5.20.10716837";1593429;"10-08-2021 10:08:41";;;1;;
18557;"8.21.04319894";1593436;"10-08-2021 10:09:01";;1;;;
6259;"4.18.0917596";1593446;"10-08-2021 10:10:53";;1;;;
17078;"12.20.13718415";1593465;"10-08-2021 10:13:29";;1;;;
18507;"7.21.25719844";1593474;"10-08-2021 10:13:45";;;;1;
18591;"8.21.10219928";1593524;"10-08-2021 10:16:09";;;;1;
18525;"7.21.28319862";1593526;"10-08-2021 10:16:11";;;1;;
18590;"8.21.10219927";1593546;"10-08-2021 10:16:46";1;;;;
8140;"8.18.1539477";1593552;"10-08-2021 10:17:06";;1;;;
17236;"1.21.04118573";1593567;"10-08-2021 10:19:32";;1;;;
15309;"4.20.18616646";1593575;"10-08-2021 10:20:15";1;;;;
17067;"12.20.10418404";1593580;"10-08-2021 10:27:58";;;;;1
18498;"7.21.24619835";1593590;"10-08-2021 10:35:48";;;1;;
18558;"8.21.04319895";1593600;"10-08-2021 10:40:46";1;;;;
16876;"11.20.16118213";1593610;"10-08-2021 10:45:31";1;;;;
8495;"9.18.0649832";1593620;"10-08-2021 10:50:46";1;;;;
17951;"4.21.10619288";1593630;"10-08-2021 10:56:55";;;;;1
15547;"5.20.16616884";1593640;"10-08-2021 11:01:43";;;1;;
12762;"3.19.25114099";1593650;"10-08-2021 11:04:22";;;;;1
15167;"4.20.01316504";1593660;"10-08-2021 11:06:32";;1;;;
15530;"5.20.14416867";1593670;"10-08-2021 11:20:56";;;;1;
11649;"1.19.19612986";1593680;"10-08-2021 11:41:51";1;;;;
15142;"3.20.28616479";1593690;"10-08-2021 11:51:36";;;1;;
7960;"7.18.2869297";1593700;"10-08-2021 12:31:11";;;;1;
18594;"8.21.10219931";1593722;"10-08-2021 13:57:22";1;;;;
11396;"1.19.06712733";1593738;"10-08-2021 14:06:12";;1;;;
10155;"11.18.14311492";1593748;"10-08-2021 15:30:01";1;;;;
11009;"12.18.19312346";1593758;"10-08-2021 15:56:54";;1;;;
18588;"8.21.10219925";1593768;"10-08-2021 17:43:38";;1;;;
5610;"2.18.0366947";1593779;"10-08-2021 19:19:12";;;1;;
15315;"4.20.19716652";1593789;"10-08-2021 19:23:40";;1;;;
18485;"7.21.21319822";1593799;"10-08-2021 23:31:10";;;;;1
18601;"8.21.11319938";1593864;"11-08-2021 09:53:55";;1;;;
16467;"9.20.27717804";1593896;"11-08-2021 11:37:01";1;;;;
18539;"7.21.31619876";1593907;"11-08-2021 13:41:05";1;;;;
18568;"8.21.07619905";1593949;"11-08-2021 20:09:49";;;;1;
18607;"8.21.11319944";1593980;"11-08-2021 22:27:42";;;1;;
18608;"8.21.11319945";1594011;"12-08-2021 00:01:24";1;;;;
18040;"4.21.24619377";1594034;"12-08-2021 06:46:09";;1;;;
16161;"8.20.13417498";1594048;"12-08-2021 09:23:49";;;;1;
16259;"8.20.25217596";1596347;"13-08-2021 20:12:11";;;1;;
16114;"8.20.03117451";1596428;"13-08-2021 20:34:22";;;1;;
17202;"12.20.31418539";1596582;"13-08-2021 22:38:49";;;;;1
5977;"3.18.1177314";1597476;"14-08-2021 17:56:04";;;1;;
4059;"8.17.2225396";1597790;"17-08-2021 09:32:13";1;;;;
18641;"8.21.17219978";1597823;"17-08-2021 15:39:46";1;;;;
4561;"10.17.1615898";1597892;"18-08-2021 17:37:24";;1;;;
18651;"8.21.19419988";1597956;"19-08-2021 00:41:32";;;;1;
17426;"1.21.28418763";1600636;"19-08-2021 15:30:24";1;;;;
18560;"8.21.05419897";1600667;"19-08-2021 15:32:01";1;;;;
18657;"8.21.19419994";1601193;"19-08-2021 17:12:53";1;;;;
13277;"6.19.02714614";1602859;"21-08-2021 16:53:37";1;;;;
18668;"8.21.22720005";1603079;"22-08-2021 19:49:33";1;;;;
18064;"4.21.29419401";1603188;"23-08-2021 07:45:42";1;;;;
18680;"8.21.24220017";1604359;"24-08-2021 12:24:20";;1;;;
18683;"8.21.24220020";1604416;"24-08-2021 17:08:49";1;;;;
18686;"8.21.25320023";1604449;"25-08-2021 05:21:51";;1;;;
18688;"8.21.25320025";1604485;"25-08-2021 14:04:12";;;1;;
18690;"8.21.25320027";1604528;"25-08-2021 16:49:22";;1;;;
18692;"8.21.25320029";1604627;"26-08-2021 21:48:16";;1;;;
18706;"8.21.27520043";1604718;"27-08-2021 21:35:50";1;;;;
18707;"8.21.27520044";1604746;"27-08-2021 23:23:57";;1;;;
18715;"8.21.28620052";1604861;"28-08-2021 13:28:07";;;;;1
18718;"8.21.28620055";1604906;"28-08-2021 21:35:03";1;;;;
18734;"8.21.30120071";1605085;"30-08-2021 21:23:49";;1;;;
18739;"8.21.31220076";1605153;"31-08-2021 14:49:33";;1;;;
18740;"8.21.31220077";1605654;"31-08-2021 17:15:03";;;1;;
18743;"9.21.01320080";1605850;"01-09-2021 13:42:56";;;1;;
18754;"9.21.02420091";1608839;"02-09-2021 16:53:33";;1;;;
6436;"5.18.0237773";1609045;"05-09-2021 09:01:44";;;;1;
18821;"9.21.08320158";1610184;"08-09-2021 17:33:10";;;;1;
18822;"9.21.08320159";1610223;"08-09-2021 19:43:44";;1;;;
18825;"9.21.08320162";1610252;"08-09-2021 23:24:40";;;1;;
18826;"9.21.09420163";1610281;"09-09-2021 07:18:10";1;;;;
18833;"9.21.09420170";1617718;"09-09-2021 20:45:56";1;;;;
4931;"11.17.2346268";1631622;"13-09-2021 21:42:15";1;;;;
18870;"9.21.14220207";1633457;"14-09-2021 19:48:08";;1;;;
18885;"9.21.16420222";1634423;"16-09-2021 10:16:27";;;1;;
18879;"9.21.15320216";1634459;"16-09-2021 13:08:55";;;;1;
18892;"9.21.17520229";1634559;"17-09-2021 07:56:45";;;;1;
18896;"9.21.17520233";1639132;"17-09-2021 20:31:02";;;1;;
18906;"9.21.18620243";1640569;"18-09-2021 08:13:47";1;;;;
16827;"11.20.10218164";1643180;"18-09-2021 13:27:02";1;;;;
18464;"7.21.13219801";1650579;"19-09-2021 16:44:40";;1;;;
18952;"9.21.22320289";1657572;"22-09-2021 14:24:04";;1;;;
