"user_id";"user_external_id";"ID";"answered";"Zeer eens";"Eens";"Niet eens/niet oneens";"Oneens";"Zeer oneens"
15500;"5.20.10716837";1593430;"10-08-2021 10:08:43";;;1;;
18557;"8.21.04319894";1593437;"10-08-2021 10:09:11";;1;;;
6259;"4.18.0917596";1593447;"10-08-2021 10:10:56";;;;1;
17078;"12.20.13718415";1593473;"10-08-2021 10:13:45";1;;;;
18507;"7.21.25719844";1593486;"10-08-2021 10:14:09";;1;;;
18591;"8.21.10219928";1593525;"10-08-2021 10:16:11";;1;;;
18525;"7.21.28319862";1593532;"10-08-2021 10:16:24";;;;1;
18590;"8.21.10219927";1593547;"10-08-2021 10:16:48";;;;;1
8140;"8.18.1539477";1593556;"10-08-2021 10:17:36";;1;;;
17236;"1.21.04118573";1593568;"10-08-2021 10:19:34";1;;;;
15309;"4.20.18616646";1593576;"10-08-2021 10:20:19";;;1;;
17067;"12.20.10418404";1593581;"10-08-2021 10:28:19";;;;1;
18498;"7.21.24619835";1593591;"10-08-2021 10:35:56";;;;1;
18558;"8.21.04319895";1593601;"10-08-2021 10:40:58";;;;;1
16876;"11.20.16118213";1593611;"10-08-2021 10:45:41";1;;;;
8495;"9.18.0649832";1593621;"10-08-2021 10:50:50";;;;;1
17951;"4.21.10619288";1593631;"10-08-2021 10:57:13";1;;;;
15547;"5.20.16616884";1593641;"10-08-2021 11:01:45";;;1;;
12762;"3.19.25114099";1593651;"10-08-2021 11:04:29";1;;;;
15167;"4.20.01316504";1593661;"10-08-2021 11:06:38";;;1;;
15530;"5.20.14416867";1593671;"10-08-2021 11:21:05";;;;1;
11649;"1.19.19612986";1593681;"10-08-2021 11:41:58";;1;;;
15142;"3.20.28616479";1593691;"10-08-2021 11:51:38";;;;1;
7960;"7.18.2869297";1593701;"10-08-2021 12:31:14";;1;;;
18594;"8.21.10219931";1593723;"10-08-2021 13:57:33";;;;1;
11396;"1.19.06712733";1593739;"10-08-2021 14:06:20";;1;;;
10155;"11.18.14311492";1593749;"10-08-2021 15:30:07";;;;;1
11009;"12.18.19312346";1593759;"10-08-2021 15:57:02";1;;;;
18588;"8.21.10219925";1593769;"10-08-2021 17:43:40";;1;;;
5610;"2.18.0366947";1593780;"10-08-2021 19:19:14";;;;1;
15315;"4.20.19716652";1593790;"10-08-2021 19:23:56";;1;;;
18485;"7.21.21319822";1593800;"10-08-2021 23:31:24";;;1;;
18601;"8.21.11319938";1593865;"11-08-2021 09:54:04";1;;;;
16467;"9.20.27717804";1593897;"11-08-2021 11:37:08";;;;1;
18539;"7.21.31619876";1593908;"11-08-2021 13:41:14";;;;;1
18568;"8.21.07619905";1593950;"11-08-2021 20:10:02";;;;1;
18607;"8.21.11319944";1593981;"11-08-2021 22:27:47";;;;1;
18608;"8.21.11319945";1594012;"12-08-2021 00:01:30";;;;1;
18040;"4.21.24619377";1594035;"12-08-2021 06:46:18";1;;;;
16161;"8.20.13417498";1594049;"12-08-2021 09:23:55";1;;;;
16259;"8.20.25217596";1596348;"13-08-2021 20:12:12";;1;;;
16114;"8.20.03117451";1596434;"13-08-2021 20:34:37";;1;;;
17202;"12.20.31418539";1596583;"13-08-2021 22:39:07";1;;;;
5977;"3.18.1177314";1597477;"14-08-2021 17:56:12";;;1;;
4059;"8.17.2225396";1597791;"17-08-2021 09:32:16";1;;;;
18641;"8.21.17219978";1597824;"17-08-2021 15:39:49";;;;1;
4561;"10.17.1615898";1597893;"18-08-2021 17:37:30";;;1;;
18651;"8.21.19419988";1597957;"19-08-2021 00:41:44";;1;;;
17426;"1.21.28418763";1600638;"19-08-2021 15:30:26";1;;;;
18560;"8.21.05419897";1600671;"19-08-2021 15:32:12";;;1;;
18657;"8.21.19419994";1601195;"19-08-2021 17:13:01";1;;;;
13277;"6.19.02714614";1602860;"21-08-2021 16:53:43";;1;;;
18668;"8.21.22720005";1603080;"22-08-2021 19:49:38";;;1;;
18064;"4.21.29419401";1603189;"23-08-2021 07:46:23";;;;1;
18680;"8.21.24220017";1604360;"24-08-2021 12:24:30";;;1;;
18683;"8.21.24220020";1604417;"24-08-2021 17:08:58";;;;;1
18686;"8.21.25320023";1604450;"25-08-2021 05:22:02";;1;;;
18688;"8.21.25320025";1604486;"25-08-2021 14:04:18";;;1;;
18690;"8.21.25320027";1604529;"25-08-2021 16:49:29";;1;;;
18692;"8.21.25320029";1604628;"26-08-2021 21:48:25";;;;;1
18706;"8.21.27520043";1604719;"27-08-2021 21:36:05";;1;;;
18707;"8.21.27520044";1604747;"27-08-2021 23:24:13";;;;1;
18715;"8.21.28620052";1604862;"28-08-2021 13:28:21";1;;;;
18718;"8.21.28620055";1604907;"28-08-2021 21:35:14";;;;;1
18734;"8.21.30120071";1605086;"30-08-2021 21:23:52";;1;;;
18739;"8.21.31220076";1605161;"31-08-2021 14:49:46";;1;;;
18740;"8.21.31220077";1605655;"31-08-2021 17:15:14";;;;1;
18743;"9.21.01320080";1605851;"01-09-2021 13:43:04";;1;;;
18754;"9.21.02420091";1608840;"02-09-2021 16:53:42";1;;;;
6436;"5.18.0237773";1609046;"05-09-2021 09:01:52";;;;1;
18821;"9.21.08320158";1610185;"08-09-2021 17:33:22";1;;;;
18822;"9.21.08320159";1610224;"08-09-2021 19:43:52";1;;;;
18825;"9.21.08320162";1610253;"08-09-2021 23:24:56";;;;1;
18826;"9.21.09420163";1610282;"09-09-2021 07:18:19";1;;;;
18833;"9.21.09420170";1617719;"09-09-2021 20:46:05";;;;1;
4931;"11.17.2346268";1631623;"13-09-2021 21:42:23";;;;;1
18870;"9.21.14220207";1633458;"14-09-2021 19:48:27";;1;;;
18885;"9.21.16420222";1634424;"16-09-2021 10:16:34";;;1;;
18879;"9.21.15320216";1634460;"16-09-2021 13:09:14";;;;1;
18892;"9.21.17520229";1634560;"17-09-2021 07:56:50";;1;;;
18896;"9.21.17520233";1639134;"17-09-2021 20:31:12";;;;1;
18906;"9.21.18620243";1640571;"18-09-2021 08:14:01";1;;;;
16827;"11.20.10218164";1643200;"18-09-2021 13:27:07";;1;;;
18464;"7.21.13219801";1650580;"19-09-2021 16:44:47";;;1;;
18952;"9.21.22320289";1657573;"22-09-2021 14:24:11";;;;1;
