"user_id";"user_external_id";"ID";"answered";"Zeer eens";"Eens";"Niet eens/niet oneens";"Oneens";"Zeer oneens"
15500;"5.20.10716837";1593432;"10-08-2021 10:08:45";;;1;;
18557;"8.21.04319894";1593438;"10-08-2021 10:09:21";;;1;;
6259;"4.18.0917596";1593448;"10-08-2021 10:10:58";1;;;;
17078;"12.20.13718415";1593477;"10-08-2021 10:13:52";;1;;;
18507;"7.21.25719844";1593488;"10-08-2021 10:14:19";;1;;;
18591;"8.21.10219928";1593527;"10-08-2021 10:16:13";1;;;;
18525;"7.21.28319862";1593537;"10-08-2021 10:16:37";;1;;;
18590;"8.21.10219927";1593548;"10-08-2021 10:16:50";;1;;;
8140;"8.18.1539477";1593557;"10-08-2021 10:17:49";1;;;;
17236;"1.21.04118573";1593569;"10-08-2021 10:19:36";1;;;;
15309;"4.20.18616646";1593577;"10-08-2021 10:20:23";;;;1;
17067;"12.20.10418404";1593582;"10-08-2021 10:28:28";;;;;1
18498;"7.21.24619835";1593592;"10-08-2021 10:36:04";;1;;;
18558;"8.21.04319895";1593602;"10-08-2021 10:41:09";1;;;;
16876;"11.20.16118213";1593612;"10-08-2021 10:45:50";;1;;;
8495;"9.18.0649832";1593622;"10-08-2021 10:50:57";;;;;1
17951;"4.21.10619288";1593632;"10-08-2021 10:57:29";;;;1;
15547;"5.20.16616884";1593642;"10-08-2021 11:01:48";;;1;;
12762;"3.19.25114099";1593652;"10-08-2021 11:04:35";;;;;1
15167;"4.20.01316504";1593662;"10-08-2021 11:06:42";;1;;;
15530;"5.20.14416867";1593672;"10-08-2021 11:21:16";;;;1;
11649;"1.19.19612986";1593682;"10-08-2021 11:42:07";1;;;;
15142;"3.20.28616479";1593692;"10-08-2021 11:51:41";;1;;;
7960;"7.18.2869297";1593702;"10-08-2021 12:31:16";;;1;;
18594;"8.21.10219931";1593724;"10-08-2021 13:57:40";1;;;;
11396;"1.19.06712733";1593740;"10-08-2021 14:06:33";;1;;;
10155;"11.18.14311492";1593750;"10-08-2021 15:30:15";;;1;;
11009;"12.18.19312346";1593760;"10-08-2021 15:57:13";1;;;;
18588;"8.21.10219925";1593770;"10-08-2021 17:43:42";;;1;;
5610;"2.18.0366947";1593781;"10-08-2021 19:19:33";;;1;;
15315;"4.20.19716652";1593791;"10-08-2021 19:24:02";;1;;;
18485;"7.21.21319822";1593801;"10-08-2021 23:31:55";;;1;;
18601;"8.21.11319938";1593866;"11-08-2021 09:54:11";;1;;;
16467;"9.20.27717804";1593898;"11-08-2021 11:37:16";;;1;;
18539;"7.21.31619876";1593909;"11-08-2021 13:41:23";1;;;;
18568;"8.21.07619905";1593951;"11-08-2021 20:10:16";1;;;;
18607;"8.21.11319944";1593982;"11-08-2021 22:27:53";;;1;;
18608;"8.21.11319945";1594013;"12-08-2021 00:01:38";;;1;;
18040;"4.21.24619377";1594036;"12-08-2021 06:46:23";;1;;;
16161;"8.20.13417498";1594050;"12-08-2021 09:23:58";;1;;;
16259;"8.20.25217596";1596350;"13-08-2021 20:12:14";;;;1;
16114;"8.20.03117451";1596435;"13-08-2021 20:34:53";;;1;;
17202;"12.20.31418539";1596584;"13-08-2021 22:39:17";;;;;1
5977;"3.18.1177314";1597478;"14-08-2021 17:56:21";;1;;;
