"user_id";"user_external_id";"Gender";"Age";"Zip code";"Work situation";"Level of education";"Joblevel";"Language preference";"Drink behavior";"entrepeneur";"owner or renter";"Household";"Country";"Q: We gaan u een paar stellingen voorleggen over vaccineren.";"answered";"answer";"user_external_id";"Q: Lees onderstaande stelling goed.";"answered";"answer";"user_external_id";"Q: Geef hieraan wat je van de stelling vindt.";"answered";"Zeer eens";"Eens";"Niet eens/niet oneens";"Oneens";"Zeer oneens";"user_external_id";"Q: Lees onderstaande stelling goed.";"answered";"answer";"user_external_id";"Q: Geef hieronder aan wat je van deze stelling vindt.";"answered";"Zeer eens";"Eens";"Niet eens/niet oneens";"Oneens";"Zeer oneens";"user_external_id";"Q: Vaccinatiebewijs als toegangsticket tot festivals? Liever niet, wij willen geen pasjesmaatschapij";"answered";"Zeer eens";"Eens";"Niet eens/niet oneens";"Oneens";"Zeer oneens";"user_external_id";"Q: Ik zou me veiliger voelen op een festival of feest als er alleen gevaccineerden waren";"answered";"Zeer eens";"Eens";"Niet eens/niet oneens";"Oneens";"Zeer oneens";"user_external_id";"Q: Als ik niet naar een festival of feest kan zonder vaccinatie, dan ga ik niet";"answered";"Zeer eens";"Eens";"Niet eens/niet oneens";"Oneens";"Zeer oneens";"user_external_id";"Q: Als ik niet naar een festival of restaurant kan zonder vaccinatie, ga ik me toch laten vaccineren";"answered";"Zeer eens";"Eens";"Niet eens/niet oneens";"Oneens";"Zeer oneens";"user_external_id";"Q: Dank je wel voor het deelnemen!";"answered";"answer"
15500;"5.20.10716837";"Male";2000;2300;"Student";"Primary-secondary school/no school";;"Dutch";"Water";"Yes";"Rental home";"Single";"Belgium";"Q: We gaan u een paar stellingen voorleggen over vaccineren.";"10-08-2021 10:08:12";1;"5.20.10716837";"Q: Lees onderstaande stelling goed.";"10-08-2021 10:08:14";1;"5.20.10716837";"Q: Geef hieraan wat je van de stelling vindt.";"10-08-2021 10:08:25";1;;;;;"5.20.10716837";"Q: Lees onderstaande stelling goed.";"10-08-2021 10:08:26";1;"5.20.10716837";"Q: Geef hieronder aan wat je van deze stelling vindt.";"10-08-2021 10:08:34";;;1;;;"5.20.10716837";"Q: Vaccinatiebewijs als toegangsticket tot festivals? Liever niet, wij willen geen pasjesmaatschapij";"10-08-2021 10:08:38";;;1;;;"5.20.10716837";"Q: Ik zou me veiliger voelen op een festival of feest als er alleen gevaccineerden waren";"10-08-2021 10:08:41";;;1;;;"5.20.10716837";"Q: Als ik niet naar een festival of feest kan zonder vaccinatie, dan ga ik niet";"10-08-2021 10:08:43";;;1;;;"5.20.10716837";"Q: Als ik niet naar een festival of restaurant kan zonder vaccinatie, ga ik me toch laten vaccineren";"10-08-2021 10:08:45";;;1;;;"5.20.10716837";"Q: Dank je wel voor het deelnemen!";"10-08-2021 10:08:47";1
18557;"8.21.04319894";"Female";2001;1640;"Student";"Professional education (Bachelor)";;"Dutch";"White wine";"Yes";"Owner-occupied home";"Living together with room mates";"Belgium";"Q: We gaan u een paar stellingen voorleggen over vaccineren.";"10-08-2021 10:08:30";1;"8.21.04319894";"Q: Lees onderstaande stelling goed.";"10-08-2021 10:08:35";1;"8.21.04319894";"Q: Geef hieraan wat je van de stelling vindt.";"10-08-2021 10:08:41";;;1;;;"8.21.04319894";"Q: Lees onderstaande stelling goed.";"10-08-2021 10:08:45";1;"8.21.04319894";"Q: Geef hieronder aan wat je van deze stelling vindt.";"10-08-2021 10:08:48";1;;;;;"8.21.04319894";"Q: Vaccinatiebewijs als toegangsticket tot festivals? Liever niet, wij willen geen pasjesmaatschapij";"10-08-2021 10:08:56";;1;;;;"8.21.04319894";"Q: Ik zou me veiliger voelen op een festival of feest als er alleen gevaccineerden waren";"10-08-2021 10:09:01";;1;;;;"8.21.04319894";"Q: Als ik niet naar een festival of feest kan zonder vaccinatie, dan ga ik niet";"10-08-2021 10:09:11";;1;;;;"8.21.04319894";"Q: Als ik niet naar een festival of restaurant kan zonder vaccinatie, ga ik me toch laten vaccineren";"10-08-2021 10:09:21";;;1;;;"8.21.04319894";"Q: Dank je wel voor het deelnemen!";"10-08-2021 10:09:23";1
6259;"4.18.0917596";"Male";1986;2180;"Full time (32+ hours)";"Higher general secondary education";"Administrative support";"Dutch";"Red wine";"Yes";"Owner-occupied home";"Single";"Belgium";"Q: We gaan u een paar stellingen voorleggen over vaccineren.";"10-08-2021 10:10:38";1;"4.18.0917596";"Q: Lees onderstaande stelling goed.";"10-08-2021 10:10:41";1;"4.18.0917596";"Q: Geef hieraan wat je van de stelling vindt.";"10-08-2021 10:10:45";;;1;;;"4.18.0917596";"Q: Lees onderstaande stelling goed.";"10-08-2021 10:10:47";1;"4.18.0917596";"Q: Geef hieronder aan wat je van deze stelling vindt.";"10-08-2021 10:10:49";1;;;;;"4.18.0917596";"Q: Vaccinatiebewijs als toegangsticket tot festivals? Liever niet, wij willen geen pasjesmaatschapij";"10-08-2021 10:10:51";;1;;;;"4.18.0917596";"Q: Ik zou me veiliger voelen op een festival of feest als er alleen gevaccineerden waren";"10-08-2021 10:10:53";;1;;;;"4.18.0917596";"Q: Als ik niet naar een festival of feest kan zonder vaccinatie, dan ga ik niet";"10-08-2021 10:10:56";;;;1;;"4.18.0917596";"Q: Als ik niet naar een festival of restaurant kan zonder vaccinatie, ga ik me toch laten vaccineren";"10-08-2021 10:10:58";1;;;;;"4.18.0917596";"Q: Dank je wel voor het deelnemen!";"10-08-2021 10:11:01";1
18507;"7.21.25719844";"Female";2007;9160;"Student";"Primary-secondary school/no school";"Executive staff";"Dutch";"Soft drinks";"No";"Rental home";"Living together";"Belgium";"Q: We gaan u een paar stellingen voorleggen over vaccineren.";"10-08-2021 10:12:53";1;"7.21.25719844";"Q: Lees onderstaande stelling goed.";"10-08-2021 10:12:57";1;"7.21.25719844";"Q: Geef hieraan wat je van de stelling vindt.";"10-08-2021 10:13:15";;;1;;;"7.21.25719844";"Q: Lees onderstaande stelling goed.";"10-08-2021 10:13:23";1;"7.21.25719844";"Q: Geef hieronder aan wat je van deze stelling vindt.";"10-08-2021 10:13:27";;;1;;;"7.21.25719844";"Q: Vaccinatiebewijs als toegangsticket tot festivals? Liever niet, wij willen geen pasjesmaatschapij";"10-08-2021 10:13:37";;;1;;;"7.21.25719844";"Q: Ik zou me veiliger voelen op een festival of feest als er alleen gevaccineerden waren";"10-08-2021 10:13:45";;;;1;;"7.21.25719844";"Q: Als ik niet naar een festival of feest kan zonder vaccinatie, dan ga ik niet";"10-08-2021 10:14:09";;1;;;;"7.21.25719844";"Q: Als ik niet naar een festival of restaurant kan zonder vaccinatie, ga ik me toch laten vaccineren";"10-08-2021 10:14:19";;1;;;;"7.21.25719844";"Q: Dank je wel voor het deelnemen!";"10-08-2021 10:14:22";1
17078;"12.20.13718415";"Female";1993;2275;"Part time";"Primary-secondary school/no school";;"Dutch";"White wine";"No";"Rental home";"Living together & kid(s)";"Belgium";"Q: We gaan u een paar stellingen voorleggen over vaccineren.";"10-08-2021 10:13:00";1;"12.20.13718415";"Q: Lees onderstaande stelling goed.";"10-08-2021 10:13:02";1;"12.20.13718415";"Q: Geef hieraan wat je van de stelling vindt.";"10-08-2021 10:13:06";;1;;;;"12.20.13718415";"Q: Lees onderstaande stelling goed.";"10-08-2021 10:13:08";1;"12.20.13718415";"Q: Geef hieronder aan wat je van deze stelling vindt.";"10-08-2021 10:13:11";1;;;;;"12.20.13718415";"Q: Vaccinatiebewijs als toegangsticket tot festivals? Liever niet, wij willen geen pasjesmaatschapij";"10-08-2021 10:13:19";1;;;;;"12.20.13718415";"Q: Ik zou me veiliger voelen op een festival of feest als er alleen gevaccineerden waren";"10-08-2021 10:13:29";;1;;;;"12.20.13718415";"Q: Als ik niet naar een festival of feest kan zonder vaccinatie, dan ga ik niet";"10-08-2021 10:13:45";1;;;;;"12.20.13718415";"Q: Als ik niet naar een festival of restaurant kan zonder vaccinatie, ga ik me toch laten vaccineren";"10-08-2021 10:13:52";;1;;;;"12.20.13718415";"Q: Dank je wel voor het deelnemen!";"10-08-2021 10:13:55";1
8140;"8.18.1539477";"Female";1976;1730;"Full time (32+ hours)";"Vocational school";"Administrative support";"Dutch";"Wodka/Gin";"No";"Owner-occupied home";"Living together with room mates";"Belgium";"Q: We gaan u een paar stellingen voorleggen over vaccineren.";"10-08-2021 10:15:22";1;"8.18.1539477";"Q: Lees onderstaande stelling goed.";"10-08-2021 10:15:26";1;"8.18.1539477";"Q: Geef hieraan wat je van de stelling vindt.";"10-08-2021 10:15:49";;1;;;;"8.18.1539477";"Q: Lees onderstaande stelling goed.";"10-08-2021 10:15:58";1;"8.18.1539477";"Q: Geef hieronder aan wat je van deze stelling vindt.";"10-08-2021 10:16:18";;1;;;;"8.18.1539477";"Q: Vaccinatiebewijs als toegangsticket tot festivals? Liever niet, wij willen geen pasjesmaatschapij";"10-08-2021 10:16:50";;;1;;;"8.18.1539477";"Q: Ik zou me veiliger voelen op een festival of feest als er alleen gevaccineerden waren";"10-08-2021 10:17:06";;1;;;;"8.18.1539477";"Q: Als ik niet naar een festival of feest kan zonder vaccinatie, dan ga ik niet";"10-08-2021 10:17:36";;1;;;;"8.18.1539477";"Q: Als ik niet naar een festival of restaurant kan zonder vaccinatie, ga ik me toch laten vaccineren";"10-08-2021 10:17:49";1;;;;;"8.18.1539477";"Q: Dank je wel voor het deelnemen!";"10-08-2021 10:17:54";1
18525;"7.21.28319862";"Female";2002;3294;"Student";"Higher general secondary education";"Projectmanagement";"Dutch";"Fruit juices";"No";"Owner-occupied home";"Single";"Belgium";"Q: We gaan u een paar stellingen voorleggen over vaccineren.";"10-08-2021 10:15:29";1;"7.21.28319862";"Q: Lees onderstaande stelling goed.";"10-08-2021 10:15:36";1;"7.21.28319862";"Q: Geef hieraan wat je van de stelling vindt.";"10-08-2021 10:15:40";;1;;;;"7.21.28319862";"Q: Lees onderstaande stelling goed.";"10-08-2021 10:15:48";1;"7.21.28319862";"Q: Geef hieronder aan wat je van deze stelling vindt.";"10-08-2021 10:15:52";;;1;;;"7.21.28319862";"Q: Vaccinatiebewijs als toegangsticket tot festivals? Liever niet, wij willen geen pasjesmaatschapij";"10-08-2021 10:16:03";;;1;;;"7.21.28319862";"Q: Ik zou me veiliger voelen op een festival of feest als er alleen gevaccineerden waren";"10-08-2021 10:16:11";;;1;;;"7.21.28319862";"Q: Als ik niet naar een festival of feest kan zonder vaccinatie, dan ga ik niet";"10-08-2021 10:16:24";;;;1;;"7.21.28319862";"Q: Als ik niet naar een festival of restaurant kan zonder vaccinatie, ga ik me toch laten vaccineren";"10-08-2021 10:16:37";;1;;;;"7.21.28319862";"Q: Dank je wel voor het deelnemen!";"10-08-2021 10:16:39";1
18591;"8.21.10219928";"Female";1989;2100;"Full time (32+ hours)";"Primary-secondary school/no school";"Administrative support";"Dutch";"Red wine";"No";"Rental home";"Living together";"Belgium";"Q: We gaan u een paar stellingen voorleggen over vaccineren.";"10-08-2021 10:15:50";1;"8.21.10219928";"Q: Lees onderstaande stelling goed.";"10-08-2021 10:15:52";1;"8.21.10219928";"Q: Geef hieraan wat je van de stelling vindt.";"10-08-2021 10:15:56";;1;;;;"8.21.10219928";"Q: Lees onderstaande stelling goed.";"10-08-2021 10:15:57";1;"8.21.10219928";"Q: Geef hieronder aan wat je van deze stelling vindt.";"10-08-2021 10:16:04";1;;;;;"8.21.10219928";"Q: Vaccinatiebewijs als toegangsticket tot festivals? Liever niet, wij willen geen pasjesmaatschapij";"10-08-2021 10:16:06";1;;;;;"8.21.10219928";"Q: Ik zou me veiliger voelen op een festival of feest als er alleen gevaccineerden waren";"10-08-2021 10:16:09";;;;1;;"8.21.10219928";"Q: Als ik niet naar een festival of feest kan zonder vaccinatie, dan ga ik niet";"10-08-2021 10:16:11";;1;;;;"8.21.10219928";"Q: Als ik niet naar een festival of restaurant kan zonder vaccinatie, ga ik me toch laten vaccineren";"10-08-2021 10:16:13";1;;;;;"8.21.10219928";"Q: Dank je wel voor het deelnemen!";"10-08-2021 10:16:15";1
18590;"8.21.10219927";"Male";1997;2610;"Full time (32+ hours)";"Primary-secondary school/no school";"Executive staff";"Dutch";"Red wine";"No";"Rental home";"Single";"Belgium";"Q: We gaan u een paar stellingen voorleggen over vaccineren.";"10-08-2021 10:16:35";1;"8.21.10219927";"Q: Lees onderstaande stelling goed.";"10-08-2021 10:16:37";1;"8.21.10219927";"Q: Geef hieraan wat je van de stelling vindt.";"10-08-2021 10:16:39";;;;1;;"8.21.10219927";"Q: Lees onderstaande stelling goed.";"10-08-2021 10:16:40";1;"8.21.10219927";"Q: Geef hieronder aan wat je van deze stelling vindt.";"10-08-2021 10:16:42";;;1;;;"8.21.10219927";"Q: Vaccinatiebewijs als toegangsticket tot festivals? Liever niet, wij willen geen pasjesmaatschapij";"10-08-2021 10:16:44";;;1;;;"8.21.10219927";"Q: Ik zou me veiliger voelen op een festival of feest als er alleen gevaccineerden waren";"10-08-2021 10:16:46";1;;;;;"8.21.10219927";"Q: Als ik niet naar een festival of feest kan zonder vaccinatie, dan ga ik niet";"10-08-2021 10:16:48";;;;;1;"8.21.10219927";"Q: Als ik niet naar een festival of restaurant kan zonder vaccinatie, ga ik me toch laten vaccineren";"10-08-2021 10:16:50";;1;;;;"8.21.10219927";"Q: Dank je wel voor het deelnemen!";"10-08-2021 10:16:52";1
17067;"12.20.10418404";"Female";1992;2060;"Full time (32+ hours)";"Professional education (Bachelor)";"Administrative support";"Dutch";"Mixed drinks";"No";"Owner-occupied home";"Single & kid(s)";"Belgium";"Q: We gaan u een paar stellingen voorleggen over vaccineren.";"10-08-2021 10:16:43";1;"12.20.10418404";"Q: Lees onderstaande stelling goed.";"10-08-2021 10:16:50";1;"12.20.10418404";"Q: Geef hieraan wat je van de stelling vindt.";"10-08-2021 10:17:14";;;;1;;"12.20.10418404";"Q: Lees onderstaande stelling goed.";"10-08-2021 10:17:21";1;"12.20.10418404";"Q: Geef hieronder aan wat je van deze stelling vindt.";"10-08-2021 10:17:25";;;;;1;"12.20.10418404";"Q: Vaccinatiebewijs als toegangsticket tot festivals? Liever niet, wij willen geen pasjesmaatschapij";"10-08-2021 10:27:51";;;;;1;"12.20.10418404";"Q: Ik zou me veiliger voelen op een festival of feest als er alleen gevaccineerden waren";"10-08-2021 10:27:58";;;;;1;"12.20.10418404";"Q: Als ik niet naar een festival of feest kan zonder vaccinatie, dan ga ik niet";"10-08-2021 10:28:19";;;;1;;"12.20.10418404";"Q: Als ik niet naar een festival of restaurant kan zonder vaccinatie, ga ik me toch laten vaccineren";"10-08-2021 10:28:28";;;;;1;"12.20.10418404";"Q: Dank je wel voor het deelnemen!";"10-08-2021 10:28:30";1
