"user_id";"user_external_id";"ID";"answered";"answer";"category"
15500;"5.20.10716837";1585388;"05-08-2021 10:19:44";"Duitsland ";
8495;"9.18.0649832";1585414;"05-08-2021 10:28:09";"In belgie";
17236;"1.21.04118573";1585418;"05-08-2021 10:30:16";"Jzbbzkzbe";
18560;"8.21.05419897";1585430;"05-08-2021 10:39:53";"Oostende";
17951;"4.21.10619288";1585445;"05-08-2021 11:20:06";"Spanje (Marbella)";
15142;"3.20.28616479";1585472;"05-08-2021 11:54:19";"Spanje";
7960;"7.18.2869297";1585483;"05-08-2021 12:27:02";"De zee";
18556;"8.21.04319893";1585533;"06-08-2021 09:20:52";"Sexs ";
15309;"4.20.18616646";1586022;"06-08-2021 11:29:33";"Duitsland 
";
16259;"8.20.25217596";1592067;"06-08-2021 16:26:39";"Spanje";
18586;"8.21.09119923";1593357;"09-08-2021 12:38:28";"JBay1000$";
18590;"8.21.10219927";1593530;"10-08-2021 10:16:19";"Nee";
16161;"8.20.13417498";1594039;"12-08-2021 09:23:06";"Spanje";
17426;"1.21.28418763";1600396;"19-08-2021 15:11:49";"Jaassaaaaaaaaaaassaaaaa";
18718;"8.21.28620055";1604911;"28-08-2021 21:37:48";"De kust, de haan";
18740;"8.21.31220077";1605645;"31-08-2021 17:14:16";"Dubai";
18754;"9.21.02420091";1608834;"02-09-2021 16:52:50";"Belgie";
16827;"11.20.10218164";1643020;"18-09-2021 13:26:02";"Belgie";
