"user_id";"user_external_id";"ID";"answered";"Ja";"Nee"
15500;"5.20.10716837";1585392;"05-08-2021 10:19:56";1;
8495;"9.18.0649832";1585415;"05-08-2021 10:28:13";1;
17236;"1.21.04118573";1585419;"05-08-2021 10:30:18";1;
18560;"8.21.05419897";1585431;"05-08-2021 10:39:57";;1
17951;"4.21.10619288";1585446;"05-08-2021 11:20:11";;1
15142;"3.20.28616479";1585473;"05-08-2021 11:54:28";;1
7960;"7.18.2869297";1585484;"05-08-2021 12:27:06";1;
18556;"8.21.04319893";1585534;"06-08-2021 09:20:56";;1
15309;"4.20.18616646";1586127;"06-08-2021 11:29:48";;1
16259;"8.20.25217596";1592069;"06-08-2021 16:26:43";1;
18586;"8.21.09119923";1593358;"09-08-2021 12:38:38";1;
18590;"8.21.10219927";1593531;"10-08-2021 10:16:23";;1
16161;"8.20.13417498";1594040;"12-08-2021 09:23:17";1;
17426;"1.21.28418763";1600398;"19-08-2021 15:11:52";1;
18718;"8.21.28620055";1604912;"28-08-2021 21:38:07";;1
18740;"8.21.31220077";1605646;"31-08-2021 17:14:21";1;
18754;"9.21.02420091";1608835;"02-09-2021 16:52:57";;1
16827;"11.20.10218164";1643042;"18-09-2021 13:26:10";1;
