"user_id";"user_external_id";"ID";"answered";"answer"
15547;"5.20.16616884";1585382;"05-08-2021 10:19:21";1
6259;"4.18.0917596";1585386;"05-08-2021 10:19:23";1
10155;"11.18.14311492";1585387;"05-08-2021 10:19:25";1
8140;"8.18.1539477";1585391;"05-08-2021 10:19:51";1
17067;"12.20.10418404";1585396;"05-08-2021 10:20:08";1
16467;"9.20.27717804";1585399;"05-08-2021 10:20:30";1
18557;"8.21.04319894";1585409;"05-08-2021 10:23:33";1
11649;"1.19.19612986";1585412;"05-08-2021 10:24:22";1
15530;"5.20.14416867";1585423;"05-08-2021 10:33:08";1
18558;"8.21.04319895";1585435;"05-08-2021 10:51:48";1
15167;"4.20.01316504";1585440;"05-08-2021 10:53:28";1
15315;"4.20.19716652";1585450;"05-08-2021 11:22:36";1
18525;"7.21.28319862";1585453;"05-08-2021 11:26:38";1
11009;"12.18.19312346";1585488;"05-08-2021 15:49:25";1
18498;"7.21.24619835";1585491;"05-08-2021 16:21:08";1
11396;"1.19.06712733";1585494;"05-08-2021 17:03:48";1
16114;"8.20.03117451";1585497;"05-08-2021 22:49:45";1
18539;"7.21.31619876";1585500;"06-08-2021 00:03:26";1
17078;"12.20.13718415";1585528;"06-08-2021 07:59:39";1
5610;"2.18.0366947";1585538;"06-08-2021 09:51:03";1
16876;"11.20.16118213";1589776;"06-08-2021 12:26:47";1
12762;"3.19.25114099";1590123;"06-08-2021 12:47:49";1
18040;"4.21.24619377";1591992;"06-08-2021 16:14:44";1
18568;"8.21.07619905";1593023;"07-08-2021 10:04:31";1
18507;"7.21.25719844";1593058;"07-08-2021 13:11:21";1
18485;"7.21.21319822";1593320;"08-08-2021 18:59:27";1
5977;"3.18.1177314";1593329;"09-08-2021 01:10:26";1
18588;"8.21.10219925";1593404;"10-08-2021 00:53:55";1
18591;"8.21.10219928";1593510;"10-08-2021 10:15:39";1
18594;"8.21.10219931";1593728;"10-08-2021 13:58:09";1
18601;"8.21.11319938";1593870;"11-08-2021 09:55:06";1
18607;"8.21.11319944";1593973;"11-08-2021 22:26:42";1
18608;"8.21.11319945";1594004;"12-08-2021 00:00:30";1
17202;"12.20.31418539";1596588;"13-08-2021 22:41:05";1
4059;"8.17.2225396";1597783;"17-08-2021 09:31:47";1
18641;"8.21.17219978";1597816;"17-08-2021 15:39:15";1
4561;"10.17.1615898";1597885;"18-08-2021 17:36:44";1
18651;"8.21.19419988";1597949;"19-08-2021 00:40:03";1
18657;"8.21.19419994";1601176;"19-08-2021 17:11:37";1
13277;"6.19.02714614";1602865;"21-08-2021 16:54:12";1
18668;"8.21.22720005";1603072;"22-08-2021 19:36:41";1
18064;"4.21.29419401";1603194;"23-08-2021 07:47:04";1
18680;"8.21.24220017";1604365;"24-08-2021 12:25:10";1
18683;"8.21.24220020";1604409;"24-08-2021 17:08:06";1
18686;"8.21.25320023";1604455;"25-08-2021 05:22:40";1
18688;"8.21.25320025";1604478;"25-08-2021 14:03:28";1
18690;"8.21.25320027";1604521;"25-08-2021 16:48:37";1
18692;"8.21.25320029";1604618;"26-08-2021 21:46:40";1
18707;"8.21.27520044";1604739;"27-08-2021 23:22:09";1
18715;"8.21.28620052";1604867;"28-08-2021 13:30:10";1
18739;"8.21.31220076";1605142;"31-08-2021 14:46:41";1
18743;"9.21.01320080";1605843;"01-09-2021 13:41:57";1
6436;"5.18.0237773";1609038;"05-09-2021 09:01:01";1
18821;"9.21.08320158";1610177;"08-09-2021 17:32:15";1
18833;"9.21.09420170";1617711;"09-09-2021 20:44:36";1
4931;"11.17.2346268";1631615;"13-09-2021 21:41:40";1
18885;"9.21.16420222";1634401;"16-09-2021 09:55:00";1
18879;"9.21.15320216";1634448;"16-09-2021 13:07:31";1
18892;"9.21.17520229";1634583;"17-09-2021 07:59:41";1
18896;"9.21.17520233";1639120;"17-09-2021 20:29:48";1
18464;"7.21.13219801";1650555;"19-09-2021 16:41:04";1
18952;"9.21.22320289";1657565;"22-09-2021 14:23:30";1
