"user_id";"user_external_id";"Gender";"Age";"Zip code";"Work situation";"Level of education";"Joblevel";"Language preference";"Drink behavior";"entrepeneur";"owner or renter";"Household";"Country";"Q: Bent u momenteel op vakantie?";"answered";"Ja";"Nee";"user_external_id";"Q: Waar bent u op vakantie";"answered";"answer";"category";"user_external_id";"Q: Gaat u kijken naar de wedstrijd van the Belgian Lions?";"answered";"Ja";"Nee";"user_external_id";"Q: Gaat u kijken naar de wedstrijd van the Belgian Lions?";"answered";"Ja";"Nee";"user_external_id";"Q: Dank voor de snelle hulp.";"answered";"answer";"user_external_id";"Q: Dank voor de snelle deelname.";"answered";"answer"
15547;"5.20.16616884";"Female";1994;3950;"Part time";"Vocational school";;"Dutch";"Cocktails";"No";"Rental home";"Living together & kid(s)";"Belgium";"Q: Bent u momenteel op vakantie?";"05-08-2021 10:19:12";;1;;;;;;"5.20.16616884";"Q: Gaat u kijken naar de wedstrijd van the Belgian Lions?";"05-08-2021 10:19:15";;1;;;;;;"5.20.16616884";"Q: Dank voor de snelle hulp.";"05-08-2021 10:19:21";1;;;;
6259;"4.18.0917596";"Male";1986;2180;"Full time (32+ hours)";"Higher general secondary education";"Administrative support";"Dutch";"Red wine";"Yes";"Owner-occupied home";"Single";"Belgium";"Q: Bent u momenteel op vakantie?";"05-08-2021 10:19:18";;1;;;;;;"4.18.0917596";"Q: Gaat u kijken naar de wedstrijd van the Belgian Lions?";"05-08-2021 10:19:21";1;;;;;;;"4.18.0917596";"Q: Dank voor de snelle hulp.";"05-08-2021 10:19:23";1;;;;
10155;"11.18.14311492";"Female";1989;2580;"Full time (32+ hours)";"Professional education (Bachelor)";"Executive staff";"Dutch";"White wine";"No";"Owner-occupied home";"Living together";"Belgium";"Q: Bent u momenteel op vakantie?";"05-08-2021 10:19:18";;1;;;;;;"11.18.14311492";"Q: Gaat u kijken naar de wedstrijd van the Belgian Lions?";"05-08-2021 10:19:22";1;;;;;;;"11.18.14311492";"Q: Dank voor de snelle hulp.";"05-08-2021 10:19:25";1;;;;
15500;"5.20.10716837";"Male";2000;2300;"Student";"Primary-secondary school/no school";;"Dutch";"Water";"Yes";"Rental home";"Single";"Belgium";"Q: Bent u momenteel op vakantie?";"05-08-2021 10:19:21";1;;"5.20.10716837";"Q: Waar bent u op vakantie";"05-08-2021 10:19:44";"Duitsland ";;;;;;;"5.20.10716837";"Q: Gaat u kijken naar de wedstrijd van the Belgian Lions?";"05-08-2021 10:19:56";1;;;;;;"5.20.10716837";"Q: Dank voor de snelle deelname.";"05-08-2021 10:19:58";1
8140;"8.18.1539477";"Female";1976;1730;"Full time (32+ hours)";"Vocational school";"Administrative support";"Dutch";"Wodka/Gin";"No";"Owner-occupied home";"Living together with room mates";"Belgium";"Q: Bent u momenteel op vakantie?";"05-08-2021 10:19:44";;1;;;;;;"8.18.1539477";"Q: Gaat u kijken naar de wedstrijd van the Belgian Lions?";"05-08-2021 10:19:48";1;;;;;;;"8.18.1539477";"Q: Dank voor de snelle hulp.";"05-08-2021 10:19:51";1;;;;
17067;"12.20.10418404";"Female";1992;2060;"Full time (32+ hours)";"Professional education (Bachelor)";"Administrative support";"Dutch";"Mixed drinks";"No";"Owner-occupied home";"Single & kid(s)";"Belgium";"Q: Bent u momenteel op vakantie?";"05-08-2021 10:19:58";;1;;;;;;"12.20.10418404";"Q: Gaat u kijken naar de wedstrijd van the Belgian Lions?";"05-08-2021 10:20:03";1;;;;;;;"12.20.10418404";"Q: Dank voor de snelle hulp.";"05-08-2021 10:20:08";1;;;;
16467;"9.20.27717804";"Female";1999;2300;"Student";"Professional education (Bachelor)";"Administrative support";"Dutch";"White wine";"No";"Owner-occupied home";"Living together";"Belgium";"Q: Bent u momenteel op vakantie?";"05-08-2021 10:20:24";;1;;;;;;"9.20.27717804";"Q: Gaat u kijken naar de wedstrijd van the Belgian Lions?";"05-08-2021 10:20:28";;1;;;;;;"9.20.27717804";"Q: Dank voor de snelle hulp.";"05-08-2021 10:20:30";1;;;;
18557;"8.21.04319894";"Female";2001;1640;"Student";"Professional education (Bachelor)";;"Dutch";"White wine";"Yes";"Owner-occupied home";"Living together with room mates";"Belgium";"Q: Bent u momenteel op vakantie?";"05-08-2021 10:23:27";;1;;;;;;"8.21.04319894";"Q: Gaat u kijken naar de wedstrijd van the Belgian Lions?";"05-08-2021 10:23:31";;1;;;;;;"8.21.04319894";"Q: Dank voor de snelle hulp.";"05-08-2021 10:23:33";1;;;;
11649;"1.19.19612986";"Female";1978;1730;"Full time (32+ hours)";"Professional education (Bachelor)";"Projectmanagement";"Dutch";"Red wine";"Yes";"Owner-occupied home";"Single";"Belgium";"Q: Bent u momenteel op vakantie?";"05-08-2021 10:24:14";;1;;;;;;"1.19.19612986";"Q: Gaat u kijken naar de wedstrijd van the Belgian Lions?";"05-08-2021 10:24:20";1;;;;;;;"1.19.19612986";"Q: Dank voor de snelle hulp.";"05-08-2021 10:24:22";1;;;;
8495;"9.18.0649832";"Male";1992;2580;"Full time (32+ hours)";"Professional education (Bachelor)";"Executive staff";"Dutch";"Beer (alcoholfree)";"No";"Owner-occupied home";"Living together";"Belgium";"Q: Bent u momenteel op vakantie?";"05-08-2021 10:28:02";1;;"9.18.0649832";"Q: Waar bent u op vakantie";"05-08-2021 10:28:09";"In belgie";;;;;;;"9.18.0649832";"Q: Gaat u kijken naar de wedstrijd van the Belgian Lions?";"05-08-2021 10:28:13";1;;;;;;"9.18.0649832";"Q: Dank voor de snelle deelname.";"05-08-2021 10:28:15";1
17236;"1.21.04118573";"Female";2003;3770;"Student";"Primary-secondary school/no school";;"Dutch";"Wodka/Gin";"No";"Owner-occupied home";"Single";"Belgium";"Q: Bent u momenteel op vakantie?";"05-08-2021 10:30:12";1;;"1.21.04118573";"Q: Waar bent u op vakantie";"05-08-2021 10:30:16";"Jzbbzkzbe";;;;;;;"1.21.04118573";"Q: Gaat u kijken naar de wedstrijd van the Belgian Lions?";"05-08-2021 10:30:18";1;;;;;;"1.21.04118573";"Q: Dank voor de snelle deelname.";"05-08-2021 10:30:20";1
15530;"5.20.14416867";"Male";1999;9690;"Pupil/scholar";"Primary-secondary school/no school";;"Dutch";"Beer (Lager)";"Yes";"Owner-occupied home";"Single";"Belgium";"Q: Bent u momenteel op vakantie?";"05-08-2021 10:33:03";;1;;;;;;"5.20.14416867";"Q: Gaat u kijken naar de wedstrijd van the Belgian Lions?";"05-08-2021 10:33:06";;1;;;;;;"5.20.14416867";"Q: Dank voor de snelle hulp.";"05-08-2021 10:33:08";1;;;;
18560;"8.21.05419897";"Male";1977;1000;"Full time (32+ hours)";"University (Master)";"Board";"Dutch";"Red wine";"No";"Owner-occupied home";"Living together & kid(s)";"Belgium";"Q: Bent u momenteel op vakantie?";"05-08-2021 10:39:43";1;;"8.21.05419897";"Q: Waar bent u op vakantie";"05-08-2021 10:39:53";"Oostende";;;;;;;"8.21.05419897";"Q: Gaat u kijken naar de wedstrijd van the Belgian Lions?";"05-08-2021 10:39:57";;1;;;;;"8.21.05419897";"Q: Dank voor de snelle deelname.";"05-08-2021 10:39:59";1
18558;"8.21.04319895";"Female";2002;3294;"Student";"Professional education (Bachelor)";;"English";"Soft drinks";"No";"Owner-occupied home";"Single";"Belgium";"Q: Bent u momenteel op vakantie?";"05-08-2021 10:51:40";;1;;;;;;"8.21.04319895";"Q: Gaat u kijken naar de wedstrijd van the Belgian Lions?";"05-08-2021 10:51:46";;1;;;;;;"8.21.04319895";"Q: Dank voor de snelle hulp.";"05-08-2021 10:51:48";1;;;;
15167;"4.20.01316504";"Male";1989;9500;"Full time (32+ hours)";"Professional education (Bachelor)";;"Dutch";"Red wine";"No";"Rental home";"Living together with room mates";"Belgium";"Q: Bent u momenteel op vakantie?";"05-08-2021 10:53:22";;1;;;;;;"4.20.01316504";"Q: Gaat u kijken naar de wedstrijd van the Belgian Lions?";"05-08-2021 10:53:26";1;;;;;;;"4.20.01316504";"Q: Dank voor de snelle hulp.";"05-08-2021 10:53:28";1;;;;
