ID,Gender,Leeftijd,Provincie,Habitat,Opleiding,Beroep,Pot Groen,Pot CD&V,Pot N-VA,Pot Vooruit,Pot VB,Pot VLD,Pot PVDA,Voorkeur,Aversie,Stem 2019,Waarom sp.a in 2019 maar nu niet Vooruit?,Waarom niet sp.a in 2019 maar nu wel?,Vertrouwen BEL regering,Vertrouwen De Croo,Vertrouwen VLA regering,Vertrouwen Jambon,Grootste probleem is waarmee ons land momenteel wordt geconfronteerd?,Conner Rousseau: Kent u ... ?,Meryame Kitir: Kent u ... ?,Frank Vandenbroucke: Kent u ... ?,Vincent Van Quickenborne: Kent u ... ?,Alexander De Croo: Kent u ... ?,Bart Somers: Kent u ... ?,Egbert Lachaert: Kent u ... ?,Hilde Crevits: Kent u ... ?,Joachim Coens: Kent u ... ?,Wouter Beke: Kent u ... ?,Annelies Verlinden: Kent u ... ?,Meyrem Almaci: Kent u ... ?,Petra De Sutter: Kent u ... ?,Tom Van Grieken: Kent u ... ?,Dries Van Langenhove: Kent u ... ?,Peter Mertens: Kent u ... ?,Bart De Wever: Kent u ... ?,Jan Jambon: Kent u ... ?,Theo Francken: Kent u ... ?,Ben Weyts: Kent u ... ?,Zuhal Demir: Kent u ... ?,Conner Rousseau: Potentieel,Meryame Kitir: Potentieel,Frank Vandenbroucke: Potentieel,Vincent Van Quickenborne: Potentieel,Alexander De Croo: Potentieel,Bart Somers: Potentieel,Egbert Lachaert: Potentieel,Hilde Crevits: Potentieel,Joachim Coens: Potentieel,Wouter Beke: Potentieel,Annelies Verlinden: Potentieel,Meyrem Almaci: Potentieel,Petra De Sutter: Potentieel,Tom Van Grieken: Potentieel,Dries Van Langenhove: Potentieel,Peter Mertens: Potentieel,Bart De Wever: Potentieel,Jan Jambon: Potentieel,Theo Francken: Potentieel,Ben Weyts: Potentieel,Zuhal Demir: Potentieel,Positieve woorden om Vooruit (vroeger sp.a) te omschrijven?,Label positieve woorden Vooruit,Negatieve woorden Vooruit (vroeger sp.a) te omschrijven?,Kolom,Label negatieve woorden Vooruit,Overall sentiment,Waarin verschilt Vooruit volgens u van sp.a?,Label verschil
94,Vrouw,66,Vlaams-Brabant,Stedelijke gemeenten,"licentiaat, master, postgraduaat",Gepensioneerde,Ja,Ja,Ja,Ja,Nee,Nee,Nee,N-VA,{VB},N-VA,,,Redelijk vertrouwen,Redelijk vertrouwen,Redelijk vertrouwen,Redelijk vertrouwen,Covid,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Ja,Nee,Nee,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,,,Ja,,,Ja,Ja,Ja,,,,,,,,,Sociaal,Sociaal,-,,Geen,Evenwichtig,Geen verschil.,Geen
814,Vrouw,43,Antwerpen,Andere gemeenten,"licentiaat, master, postgraduaat","Middenkader, verantwoordelijk voor 5 werknemers of minder",Nee,Nee,Nee,Nee,Ja,Ja,Nee,VLD,{N-VA},VLD,,,Weinig vertrouwen,Weinig vertrouwen,Redelijk vertrouwen,Weinig vertrouwen,-,Ja,Ja,Ja,Nee,Nee,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Ja,Ja,Nee,Nee,Nee,,,Nee,,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,,Ja,Nee,-,Ongeldig,-,,Ongeldig,Ongeldig,-,Geen
986,Man,50,Antwerpen,GROTE agglomeraties,"kandidaat, bachelor, graduaat","Andere bediende die geen kantoorwerk uitvoert (vb. verpleegsters, onderwijzers, politiemannen,…)",Nee,Nee,Ja,Nee,Ja,Nee,Nee,VB,"{Groen,Vooruit,VLD,PVDA}",VB,,,Helemaal geen vertrouwen,Weinig vertrouwen,Weinig vertrouwen,Weinig vertrouwen,corrupte politiekers,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,,Nee,Ja,Ja,Nee,Ja,Ja,Ja,Ja,Ja,-,Ongeldig,-,,Ongeldig,Ongeldig,niks,Geen
500,Man,35,West-Vlaanderen,Andere gemeenten,hoger secundair beroepsonderwijs (BSO),Niet-geschoold arbeider,Nee,Nee,Ja,Nee,Ja,Nee,Nee,N-VA,{Weet niet},N-VA,,,Weinig vertrouwen,Weinig vertrouwen,Weinig vertrouwen,Weinig vertrouwen,corona,Ja,Nee,Ja,Ja,Ja,Ja,Nee,Ja,Nee,Ja,Nee,Nee,Nee,Nee,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Ja,,Ja,Ja,Ja,Ja,,Ja,,Ja,,,,,Ja,,Ja,Ja,Ja,Ja,Ja,geen,Geen,-,,Ongeldig,Ongeldig,-,Geen
255,Man,35,Oost-Vlaanderen,Stedelijke gemeenten,hoger secundair technisch of artistiek onderwijs,"Andere bediende die geen kantoorwerk uitvoert (vb. verpleegsters, onderwijzers, politiemannen,…)",Ja,Nee,Nee,Nee,Nee,Nee,Nee,Groen,{Geen},Groen,,,Redelijk vertrouwen,Redelijk vertrouwen,Redelijk vertrouwen,Weinig vertrouwen,-,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Nee,Nee,-,Ongeldig,-,,Ongeldig,Ongeldig,niets,Geen
1020,Man,46,Vlaams-Brabant,Andere gemeenten,hoger algemeen secundair onderwijs,"Andere bediende die geen kantoorwerk uitvoert (vb. verpleegsters, onderwijzers, politiemannen,…)",Nee,Nee,Nee,Nee,Nee,Nee,Nee,Niet stemmen,{Geen},Niet stemmen,,,Weinig vertrouwen,Helemaal geen vertrouwen,Helemaal geen vertrouwen,Helemaal geen vertrouwen,-,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,-,Ongeldig,-,,Ongeldig,Ongeldig,-,Geen
298,Man,30,West-Vlaanderen,Sekundaire gemeenten,"kandidaat, bachelor, graduaat","Middenkader, verantwoordelijk voor 5 werknemers of minder",Nee,Nee,Ja,Nee,Nee,Nee,Nee,N-VA,{PVDA},N-VA,,,Weinig vertrouwen,Redelijk vertrouwen,Helemaal geen vertrouwen,Helemaal geen vertrouwen,-,Nee,Nee,Nee,Ja,Ja,Nee,Nee,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Ja,Ja,Ja,Nee,Nee,Ja,Ja,,,,Ja,Ja,,,Nee,Ja,Nee,,,,,Nee,Ja,Nee,,,Ja,Nee,-,Ongeldig,-,,Ongeldig,Ongeldig,-,Geen
1420,Man,18,Antwerpen,GROTE agglomeraties,hoger algemeen secundair onderwijs,Scholier/Student / in opleiding,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Groen,"{N-VA,VB,PVDA}",Mocht niet,,,Redelijk vertrouwen,Redelijk vertrouwen,Redelijk vertrouwen,Helemaal geen vertrouwen,- De coronacrisis waar we nu in zitten.,Ja,Nee,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,,Ja,,Nee,Ja,Nee,Ja,Nee,Ja,Ja,Ja,,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,"-vooruitstrevend, oprecht, ambitieus",Innovatie - Vernieuwing,- geen,,Geen,Positief,- in niks,Geen
90,Vrouw,66,Antwerpen,GROTE agglomeraties,hoger algemeen secundair onderwijs,Gepensioneerde,Nee,Nee,Ja,Nee,Nee,Nee,Nee,Blanco,"{Groen,CD&V,Vooruit,VB,VLD,PVDA}",Blanco,,,Weinig vertrouwen,Redelijk vertrouwen,Weinig vertrouwen,Weinig vertrouwen,"oplossen coronacrisis : economisch, psychisch, gezondheidszorg",Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Nee,Ja,Nee,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,vernieuwing-modernisering,Innovatie - Vernieuwing,---,,Geen,Positief,"jonger, moderner en vernieuwender",Imago: Jong
278,Man,66,Oost-Vlaanderen,Andere gemeenten,hoger algemeen secundair onderwijs,Gepensioneerde,Nee,Nee,Ja,Ja,Ja,Nee,Nee,Vooruit,{CD&V},sp.a,,,Weinig vertrouwen,Redelijk vertrouwen,Redelijk vertrouwen,Redelijk vertrouwen,coronacrisis en belastingen,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Ja,Nee,Ja,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Ja,Ja,Nee,Nee,krachtig,Brand identity: naam,----,,Geen,Positief,dit is krachtiger en moderner,Beleid: daadkracht
