Date	Duration	InformedConsent_Sens	Age	PostalCode	Provincie	Gender	Gender_3_TEXT	Education	Corona_Vaccinated	Satis_Income	LeftRight	Polinterest	Vote2019_Fed	ElecUtil_CDV	ElecUtil_GROEN	ElecUtil_NVA	ElecUtil_OPENVLD	ElecUtil_PVDA	ElecUtil_VOORUIT	ElecUtil_VB	VoteChoiceNow	SwitchMotive	PolicyEval_FEDERAL	PolicyEval_FLEMISH	PolicyEval_EU	PolicyEval_LOCAL	MIP_Open	MIP_Open_rc1	MIP_Open_rc2	MIP_Open_rc3	MIP_Closed_1	MIP_Closed_2	EconRegul_Self	EconRegul_Party_CDV	EconRegul_Party_GROEN	EconRegul_Party_NVA	EconRegul_Party_OPENVLD	EconRegul_Party_PVDA	EconRegul_Party_VOORUIT	EconRegul_Party_VB	Immi_Self	Immi_Party_CDV	Immi_Party_GROEN	Immi_Party_NVA	Immi_Party_OPENVLD	Immi_Party_PVDA	Immi_Party_VOORUIT	Immi_Party_VB	EnviEcon_Self	EnviEcon_Party_CDV	EnviEcon_Party_GROEN	EnviEcon_Party_NVA	EnviEcon_Party_OPENVLD	EnviEcon_Party_PVDA	EnviEcon_Party_VOORUIT	EnviEcon_Party_VB	FreedomSpeech_Self	StateReform_Self	Eval_Gov_1	Eval_Gov_2	IO_HealthCare	IO_HealthCare_T_Page_Submit	IO_Migration	IO_Migration_T_Page_Submit	IO_Climate	IO_Climate_T_Page_Submit	IO_Economy	IO_Economy_T_Page_Submit	IO_Employment	IO_Employment_T_Page_Submit	IO_Pensions	IO_Pension_T_Page_Submit	IO_SocialSecurity	IO_SocialSecurity_T_Page_Submit	IO_Mobility	IO_Mobility_T_Page_Submit	IO_StateReform	IO_StateReform_T_Page_Submit	Econ_LR_1	Econ_LR_2	Econ_LR_3	Econ_LR_4	Econ_LR_5	Econ_LR_6	Econ_LR_7	Econ_LR_8	Econ_LR_9	Econ_LR_10	Econ_LR_11	Econ_LR_12	Econ_LR_13	Econ_LR_14	Econ_LR_15	Cult_LR_1	Cult_LR_2	Cult_LR_3	Cult_LR_4	Cult_LR_5	Cult_LR_6	Cult_LR_7	Cult_LR_8	Cult_LR_9	Cult_LR_10	Cult_LR_11	Cult_LR_12	Cult_LR_13	Cult_LR_14	Cult_LR_15	SatisDem	Pol_represented	Pol_represented_rc	NoticedMedia	NoticedMedia_13_TEXT	Noticed_PosNeg	Noticed_Politician	Corona_measures_1	Corona_measures_2	Corona_measures_3	Corona_measures_4	Corona_measures_5	Corona_measures_6	Corona_measures_7	Corona_measures_8	Corona_measures_9	LockdownCause_1	LockdownCause_2	LockdownCause_3	LockdownCause_4	LockdownCause_5	Corona_Gov_FEDERAL	Corona_Gov_FLEMISH	Corona_Gov_EUROPE	Corona_Comparative	Corona_Minister_1	Corona_Minister_2	Corona_Minister_3	Corona_Minister_4	Corona_Minister_5	Corona_Minister_6	Corona_Minister_7	Corona_VacStrat_1	Corona_VacStrat_2	Corona_VacStrat_3	Corona_VacStrat_4	Corona_VacStrat_5	Corona_EconStrat_1	Corona_EconStrat_2	Corona_EconStrat_3	Disinfo_1	Disinfo_2	Disinfo_3	Disinfo_4	Disinfo_5	Disinfo_6	Disinfo_7	Disinfo_8	Disinfo_9	Disinfo_10	Disinfo_11	AP_Child_1	AP_Child_2	AP_Child_3	AP_Child_4	AP_Child_5	AP_Child_6	AP_Child_7	AP_Child_8	AP_Child_9	AP_LR_1	AP_LR_2	AP_LR_3	AP_LR_4	AP_LR_5	AP_LR_6	AP_LR_7	w_agesexedu	w_agesexeduvote19
8-Apr-2021 03:02:45	414	1	45	2390	1	2	""	2	3	7	6	6	7	4	0	9	4	3	3	9	12	""	4	4	3	4	"België"	"PolVer - Staatsstructuur"	""	""	1	6	6	6	5	8	4	4	5	8	5	5	4	7	3	2	3	7	7	4	4	8	5	4	6	9	7	7	7	6	9	5.373	7	5.411	9	4.202	7	3.977	7	2.609	9	3.602	7	5.514	7	2.763	9	4.3	2	3	3	2	2	3	3	3	3	2	2	2	3	3	2	3	2	3	3	2	3	2	3	3	3	3	2	2	2	2	2	"geen enkele"	"9997 - Geen enkele"	3	""	2	"bart de wever"	3	2	3	2	3	2	3	3	2	5	6	5	5	5	2	3	2	2	3	3	3	3	3	3	3	2	2	2	3	3	2	2	2	3	3	3	2	3	3	2	2	3	3	2	5	5	4	4	4	4	5	5	5	5	5	4	4	4	4	4	1.2960303	1.0889221
1-Apr-2021 11:25:17	760	1	55	9880	3	1	""	4	3	3	3	8	3	0	0	8	0	8	8	8	7	"Minder migratie is echt noodzakelijk in Belgie. De politiek luistert NIET naar de stem van de bevolking. De deuren staan wagewijd open. We verliezen onze identiteit!!!"	0	0	0	0	"corruptie"	"PolVer - Eigenbelang"	""	""	8	1	3	8	10	0	0	10	10	4	10	0	0	5	5	0	0	10	5	5	0	5	5	5	5	5	7	0	0	2	7	7.872	7	6.358	2	3.34	3	9.401	6	3.975	6	3.211	6	2.791	9	3.718	3	5.81	1	1	4	1	1	1	4	1	1	4	1	1	4	1	4	4	1	1	4	1	1	1	4	4	1	4	3	1	1	1	1	"tom van grieken"	"VB - Tom Van Grieken"	14	""		""	1	2	4	4	1	4	4	1	3	2	10	10	2	0	1	1	1	1	1	3	1	1	3	1	1	4	1	1	3	4	1	2	1	1	1	1	1	3	1	1	1	1	3	3	10	10	0	0	7	5	5	6	10	10	0	7	7	0	3	5	.77322114	.62965864
12-Apr-2021 10:22:28	895	1	19	3620	2	2	""	3	3	3	5	0	11	4	10	5	5	5	6	0	2	""	0	0	2	0	"Vanalles."	"Algemeen overheidsbeleid"	""	""	7	15	5	5	5	5	5	5	5	5	2	6	5	6	6	5	5	10	4	5	0	5	5	5	5	10	10	0	4	2	3	9.627000000000001	1	12.114	2	3.03	4	3.073	5	6.857	5	2.964	10	8.532	2	3.838	10	6.071	2	3	3	4	4	2	3	1	1	4	4	2	3	2	4	1	4	3	3	3	3	2	4	1	2	3	4	4	2	3	2	"Geen een."	"9997 - Geen enkele"	14	""		""	4	3	4	4	1	4	4	3	3	10	10	8	4	8	1	1	3	1	3	1	3	1	2	3	3	2	1	2	1	1	1	4	3	1	4	1	3	1	1	2	3	2	3	5	5	5	5	5	5	5	5	5	5	5	2	6	5	5	3	10	1.0197314	.23504689
3-Apr-2021 13:41:45	1334	1	61	9300	3	1	""	4	3	6	6	5	3	7	1	7	7	1	3	0	3	""	7	7	7	8	"corona"	"Gezondheidszorg - Corona"	""	""	6	1	5	7	9	7	5	10	8	5	3	5	2	7	6	1	4	10	7	5	0	6	7	4	5	7	7	8	8	7	10	26.616	7	32.868	2	9.369	4	15.367	5	18.053	1	7.756	6	8.137	4	8.83	7	11.975	2	3	2	2	4	2	3	1	2	3	3	2	3	2	3	3	2	3	2	3	2	2	3	3	1	2	3	2	4	3	4	"Alexander De Croo"	"Open Vld - Alexander De Croo"	1	""	2	"Ben Weyts"	2	3	3	3	3	3	3	3	3	5	9	9	5	5	4	4	4	4	4	4	4	4	3	3	3	3	2	3	4	4	2	3	2	1	1	4	1	1	1	1	4	1	5	1	10	10	10	5	10	10	5	9	0	6	3	7	8	0	4	10	.77322114	.62965864
2-Apr-2021 03:49:33	1585	1	78	2170	1	1	""	5	1	7	6	5	1	10	0	10	0	0	0	0	3	"eigen mening"	6	6	4	2	"ongecontroleerdheid"	"9998 - Andere"	""	""	2	13	4	7	0	7	2	0	2	0	5	7	0	2	2	0	0	0	10	10	2	10	5	0	5	0	10	0	8	8	1	51.85	4	22.953	3	7.476	3	4.891	1	3.889	6	4.483	3	11.005	6	8.281000000000001	3	17.627	3	3	4	4	4	4	4	1	3	4	4	1	4	2	4	1	1	3	4	3	3	4	4	4	1	1	1	4	4	4	4	"geen"	"9997 - Geen enkele"	4	""	3	"neen"	2	3	4	4	4	3	4	3	3	8	2	2	10	8	4	4	4	4	4	3	3	4	4	3	1	4	2	4	4	4	2	3	3	2	2	5	2	4	1	2	5	1	5	4	10	0	8	0	8	1	0	3	0	3	8	6	4	7	4	8	.67833036	.72074878
16-Apr-2021 10:34:05	1315	1	58	3930	2	1	""	3	3	5	9	8	7	1	0	1	0	5	0	8	7	""	1	1	0	1	"duidelijkheid over wat mag en niet mag en de snelheid van vaccinatie"	"PolVer - Partijen en Politici"	"Gezondheidszorg - Corona"	""	2	8	6	8	9	8	9	7	9	6	9	3	3	3	3	2	2	2	8	5	0	7	8	6	7	8	9	10	2	1	9	15.227	7	9.135999999999999	2	3.777	4	4.387	6	7.06	1	5.374	10	11.74	2	11.124	3	3.779	2	4	4	3	4	3	2	2	1	4	2	3	4	4	2	1	1	1	4	1	1	1	3	4	1	4	4	1	4	1	1	"helaas eigenlijk geen enkele maar tom vangrieken zou een kans moeten krijgen en dan zullen we zien of hij door de mand valt en mijn stemgedrag verander"	"9997 - Geen enkele"	6	""	3	"frank vandebroecke van dan wel en dan weer niet en ik vind hem leugenachtig ( was vroeger al met de helikopters en partijgeld)"	4	3	4	4	4	4	4	3	4	8	10	7	5	8	1	2	2	2	3	1	2	1	1	2	2	4	3	1	3	4	2	4	3	1	3	1	2	1	1	1	3	3	4	3	10	8	5	5	4	3	2	2	5	4	4	8	3	2	3	10	.87736833	.59226418
10-Apr-2021 04:41:44	838	1	54	9160	3	2	""	4	3	7	8	8	7	0	0	0	8	8	8	9	7	""	8	7	6	6	"te grote bevolking, slecht immigratiebeleid met te weinig aandacht voor de oorspronkelijke bevolking, milieubeleid dat op niets trekt !"	"9998 - Andere"	"Migratie"	"Milieu"	9	8	9	0	0	6	0	7	7	7	10	0	0	6	0	0	0	10	0	7	6	4	6	7	7	7	7	10	8	5	6	16.749	7	6.648	9	6.595	4	5.403	4	5.993	5	7.057	6	5.633	9	5.688	3	3.444	1	3	2	3	3	2	1	2	3	3	1	3	3	4	3	3	1	2	3	3	4	4	3	4	2	4	3	2	2	2	2	"de croo"	"Open Vld - Alexander De Croo"	6	""	1	"van den broecke"	4	2	4	2	4	4	4	4	2	1	9	8	1	1	3	2	2	3	5	5	4	2	2	3	2	1	3	2	3	4	2	3	3	1	4	1	1	2	1	1	3	2	4	4	10	10	5	5	5	5	5	5	5	5	2	8	5	0	2	10	.76115042	.45093942
9-Apr-2021 01:54:15	1253	1	62	9240	3	1	""	3	3	6	7	7	3	7	0	9	7	0	0	0	3	""	6	7	5	7	"CORONA"	"Gezondheidszorg - Corona"	""	""	1	4	3	3	9	2	2	10	9	5	8	6	1	6	6	1	1	10	7	5	1	7	7	8	5	5	3	3	6	7	10	16.406	7	14.203	2	7.279	4	7.226	10	24.346	10	5.01	10	6.992	3	6.555	3	5.209	1	2	2	2	3	2	3	2	4	4	3	2	2	2	3	3	1	1	3	2	2	2	3	3	2	2	3	2	3	2	3	"BART DE WEVER"	"N-VA - Bart De Wever"	4	""	3	"LGU"	3	2	4	3	3	3	3	2	3	7	8	6	7	8	3	4	3	3	4	2	5	4	3	2	3	3	1	3	4	4	3	3	4	2	1	4	1	1	1	2	4	2	4	3	9	8	7	4	9	8	2	2	1	5	1	7	7	0	1	10	.85759383	.74682885
2-Apr-2021 01:48:59	5689	1	47	2580	1	1	""	4	3	6	5	8	5	2	0	2	2	9	1	5	12	""	4	5	3	3	"welvaart"	"Economie"	""	""	14	4	5	5	5	5	5	5	5	5	2	8	9	8	6	8	9	5	7	8	9	8	7	5	5	5	5	10	3	1	9	27.079	7	16.301	2	5.326	5	9.099	5	5.998	9	5.028	6	4.322	9	3.39	5	4.673	2	2	2	2	4	3	2	1	2	3	3	3	3	3	3	3	2	3	2	3	3	2	3	3	2	2	3	4	2	3	2	"????"	"9999 - Geen antwoord"	6	""	2	"????"	3	3	4	2	3	3	4	2	3	5	10	7	2	5	3	4	2	4	3	3	3	3	3	3	3	3	1	3	1	2	2	3	3	2	3	2	4	4	1	1	5	1	4	3	10	10	10	10	10	10	10	10	10	5	2	6	5	5	5	8	.63059205	.53701866
1-Apr-2021 06:33:37	6668	1	61	8560	5	1	""	5	3	8	6	9	1	9	5	1	8	5	5	0	1	""	7	5	6	5	"covid 19"	"Gezondheidszorg - Corona"	""	""	6	15	6	4	8	2	2	0	4	0	6	5	5	5	5	5	5	5	7	6	2	7	7	2	4	7	7	8	8	6	1	133.973	7	12.574	2	44.854	3	26.297	4	10.514	5	105.962	1	51.022	4	5.222	3	24.484	1	3	3	4	3	3	3	2	2	3	3	3	4	3	3	3	2	3	3	2	3	2	3	2	3	2	1	3	3	3	4	"alexander de croo"	"Open Vld - Alexander De Croo"	4	""	1	"egbert lachaert"	3	3	4	4	4	3	4	4	3	8	3	9	9	5	4	4	3	4	4	5	4	2	3	3	3	4	2	3	3	4	3	2	2	3	2	3	2	4	1	2	4	3	5	4	8	9	8	8	8	8	8	8	5	5	3	8	7	1	2	10	.69998443	.78745139
